identifier,canonical_smiles,name,chemical_super_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms,dois,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,mw,logp,hbd,hba,obscure,composite
CNP0127092.0,COC(=O)C(O)C(C)OC1=CC=C(C2=C(CC(C)C)C(=O)NC2=O)C=C1,Antrocinnamomin H,Benzenoids,Alkaloids,Tetramate alkaloids,Simple tetramate alkaloids,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,10.1002/CBDV.201200258|10.1002/cbdv.201200258,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Alkaloids,6.85,7.6,5.5,6.14,5.73,7.22,5.94,5.6,5.19,5.66,7.22,7.6,361.39400000000006,1.4438999999999997,2,6,2.0,9.39
CNP0325563.0,CC1=CC=C(O)C(COCC2=CC(C)=CC3=C2OC2=CC=C(C)C=C2C3)=C1,Geoxantether B,Organoheterocyclic compounds,,,,Unknown-fungus sp.,10.1016/j.phytochem.2015.07.009,Unknown-fungus sp.,,6.26,7.18,5.05,5.94,5.29,6.05,6.91,5.44,5.01,7.57,7.22,7.57,360.4530000000001,5.7307600000000045,1,3,2.0,9.39
CNP0336348.1,C=C1C[C@@]23C=CC(=O)[C@@](C)(CCC(=O)NC4=C(O)C=CC(C(=O)O)=C4O)[C@@H]2C[C@@H]1CC3,Platencin,Benzenoids,Terpenoids,Diterpenoids,Platensimycin and Platencins,Streptomyces platensis|Unknown-fungus sp.,10.1016/J.BMC.2010.02.030|10.1016/J.BMCL.2009.06.061|10.1016/j.bmc.2010.02.030|10.1016/j.bmcl.2009.06.061|10.1021/NP100635F|10.1021/np100635f|10.1073/pnas.0700746104,Streptomyces platensis|Unknown-fungus sp.,Terpenoids,6.67,7.48,5.58,5.44,5.91,5.12,5.78,5.38,5.2,7.49,7.21,7.49,425.48100000000017,4.022500000000003,4,5,2.0,9.37
CNP0152596.1,CC(=O)OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4C(=O)C=C5[C@@H]6C[C@@](C)(C(=O)O)CC[C@]6(C)C[C@H](O)[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)[C@H](O)[C@@H](O)[C@@H]1O,,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,Oleanane triterpenoids,Fungi,10.1055/a-0662-0296,Fungi,Terpenoids,6.69,7.55,4.46,7.35,5.15,5.53,5.88,5.52,5.1,5.94,7.2,7.55,690.8710000000003,3.7784000000000035,5,10,2.0,9.36
CNP0320667.1,C[C@@]12CCC[C@]3(C)C4=CC5=C(C=C4C(=O)[C@](O)(OC1)[C@H]23)C(=O)C=CC5=O,Alisiaquinone A,Benzenoids,Polyketides,Diterpenoids,,unidentified sponge,10.1039/b906091j,unidentified sponge,Polyketides,6.74,7.48,4.38,7.39,6.03,5.32,5.88,5.32,5.04,6.0,7.2,7.48,352.3860000000001,2.601000000000001,1,5,2.0,9.36
CNP0350785.1,CC1(C)[C@@H](O)CC[C@]2(C)C3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)C[C@H](O)[C@@]4(C)[C@]3(C)C(=O)C[C@@H]12,,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,Oleanane triterpenoids,Fungi,10.1055/a-0662-0296,Fungi,Terpenoids,6.72,7.39,4.41,7.46,5.22,5.21,6.02,5.11,5.05,5.96,7.19,7.46,500.6760000000004,4.562400000000004,3,5,2.0,9.35
CNP0323961.1,C[C@@]12CCC[C@]3(C)C4=CC5=C(C=C4C(=O)[C@](O)(OC1)[C@H]23)C(=O)C1=C(NCCS1(=O)=O)C5=O,alisiaquninone C,Benzenoids,Polyketides,Naphthalenes,Naphthoquinones,unidentified sponge,10.1039/b906091j,unidentified sponge,Polyketides,6.71,7.5,4.32,7.37,6.11,5.28,5.73,5.35,5.05,5.89,7.19,7.5,457.50400000000025,1.2743999999999998,2,8,2.0,9.35
CNP0175681.2,CC1(C)CCC(=O)[C@@]2(C)OO[C@@H]3C[C@]12CC[C@@H]3O,STEPEROXIDE A,Organoheterocyclic compounds,Terpenoids,Sesquiterpenoids,Chamigrane sesquiterpenoids,Endophytic fungi|Steccherinum ochraceum,10.1016/J.TETLET.2010.04.048|10.1016/j.tetlet.2010.04.048,Endophytic fungi|Steccherinum ochraceum,Terpenoids,6.99,7.52,4.39,5.9,5.43,4.87,5.88,5.07,5.18,5.89,6.8,7.52,254.32599999999996,1.9958000000000005,1,4,2.5,9.35
CNP0175681.3,CC1(C)CCC(=O)[C@@]2(C)OO[C@H]3C[C@@]12CC[C@H]3O,"Merulin A, (rel)-",Organoheterocyclic compounds,Terpenoids,Sesquiterpenoids,Chamigrane sesquiterpenoids,Endophytic fungi|Talaromyces flavus,10.1021/NP200164K,Endophytic fungi|Talaromyces flavus,Terpenoids,6.99,7.52,4.39,5.9,5.43,4.87,5.88,5.07,5.18,5.89,6.8,7.52,254.32599999999996,1.9958000000000005,1,4,2.5,9.35
CNP0215481.0,C=CC(C)(C)OC1=CC=C(C2=C(CC(C)C)C(=O)N(O)C2=O)C=C1,Antrocinnamomin E,Benzenoids,Alkaloids,,,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,10.1002/CBDV.201200258|10.1002/cbdv.201200258,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Alkaloids,6.73,7.56,5.45,6.56,5.48,7.29,5.7,5.68,5.2,5.39,7.19,7.56,329.396,3.5877000000000017,1,4,2.0,9.35
CNP0299194.1,CC1(C)[C@@H](O)CC[C@]2(C)C3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O[C@@H]6C[C@H](CO)[C@@H](O)C(O)[C@H]6O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)[C@@H](O)C[C@@H]12,,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,Oleanane triterpenoids,Fungi,10.1055/a-0662-0296,Fungi,Terpenoids,6.65,7.52,4.41,7.33,5.14,5.49,6.27,5.36,5.22,6.68,7.18,7.52,646.8620000000001,3.3055000000000003,6,9,2.0,9.33
CNP0171502.1,CC1(C)[C@H]2CC[C@]3(C)[C@H](C(=O)C=C4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(CO)CC[C@]43C)[C@@]2(C)CC[C@@H]1O,,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,Oleanane triterpenoids,Breynia vitis-idaea|Callitropsis funebris|Colubrina retusa|Helenium argentinum|Melochia chamaedrys|Osmites hirsuta|Parazoanthus gracilis|Plocamium corallorhiza|Pseudopterogorgia rigida|Simplicillium lamellicola|Vernonanthura squamulosa|Vinca herbacea,,Breynia vitis-idaea|Callitropsis funebris|Colubrina retusa|Helenium argentinum|Melochia chamaedrys|Osmites hirsuta|Parazoanthus gracilis|Plocamium corallorhiza|Pseudopterogorgia rigida|Simplicillium lamellicola|Vernonanthura squamulosa|Vinca herbacea,Terpenoids,6.63,7.49,4.19,7.41,5.04,5.31,5.96,5.39,5.09,5.97,7.18,7.49,486.69300000000044,5.385000000000006,3,4,2.0,9.33
CNP0350782.1,CC1(C)[C@@H](O)CC[C@]2(C)C3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)C(=O)C[C@@H]12,,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,Oleanane triterpenoids,Fungi,10.1055/a-0662-0296,Fungi,Terpenoids,6.67,7.43,4.4,7.45,5.24,5.21,6.04,5.35,5.07,5.84,7.18,7.45,484.6770000000004,5.591600000000006,2,4,2.0,9.33
CNP0283287.1,CC(=O)O[C@@H]1CC(=O)C2=C3C(=CC=C2)O[C@]24O[C@@]31OC1=C2C(=C(O)C=C1)C(=O)[C@H]1O[C@H]14,Preussomerin J,Benzenoids,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Unknown-fungus sterila,10.1016/s0040-4020(01)00320-9,Unknown-fungus sterila,Polyketides,6.61,7.62,5.36,5.7,5.47,5.49,6.24,5.27,5.01,7.31,7.18,7.62,422.3450000000002,1.6811999999999998,1,9,2.0,9.33
CNP0106294.1,COC1=CC(=O)C2=CC3=C(C=C2C1=O)C(=O)[C@]1(O)OC[C@@]2(C)CCC[C@@]3(C)[C@@H]21,Alisiaquinone B,Benzenoids,Polyketides,Diterpenoids,Podocarpane diterpenoids,unidentified sponge,10.1039/b906091j,unidentified sponge,Polyketides,6.67,7.44,4.34,7.41,6.03,5.54,5.84,5.4,5.07,5.09,7.17,7.44,382.41200000000026,2.575100000000001,1,6,2.0,9.32
CNP0205568.2,O=C1C[C@@H](O)[C@]23OC4=C5C(=C(O)C=C4)[C@@H](O)[C@H]4O[C@H]4[C@@]5(OC4=CC=CC1=C42)O3,Ymf 1029C,Benzenoids,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Unknown-fungus sp. 1.01029|ymf 1.01029,10.1021/np800034g,Unknown-fungus sp. 1.01029|ymf 1.01029,Polyketides,6.59,7.66,5.26,5.73,5.51,5.19,5.84,5.22,5.05,7.25,7.17,7.66,382.3240000000002,0.9610999999999996,3,8,2.0,9.32
CNP0324395.0,CC(C)=CCOC1=CC=C(C2=C(CC(C)C)C(=O)OC2=O)C=C1,Antrodin A,Benzenoids,Shikimates and Phenylpropanoids,,,Antrodia camphorata|Antrodia cinnamomea|Taiwanofungus camphoratus|antrodia cinnamomea,10.1021/JF801171X|10.1021/NP030293K|10.1021/NP070634K|10.1021/np030293k,Antrodia camphorata|Antrodia cinnamomea|Taiwanofungus camphoratus|antrodia cinnamomea,Shikimates and Phenylpropanoids,6.5,7.63,5.48,6.6,5.87,7.29,5.87,5.65,5.09,5.54,7.17,7.63,314.38100000000003,3.9147000000000025,0,4,2.0,9.32
CNP0293968.1,O=C1C2=CC=CC3=C2[C@]2(O[C@@]4(O3)C3=C2C=CC(O)=C3C(O)[C@H]2O[C@H]24)[C@@H]2O[C@H]12,Spiroxin D,Organoheterocyclic compounds,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Unknown-fungus sp. strain LL-37H248|unidentified fungus,10.1016/s0040-4039(99)00242-7|10.1039/b006897g,Unknown-fungus sp. strain LL-37H248|unidentified fungus,Polyketides,6.48,7.54,5.31,5.77,5.48,5.28,6.3,5.21,5.07,7.46,7.16,7.54,364.309,0.9893000000000001,2,7,2.0,9.31
CNP0223893.1,CC1(C)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)C3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)[C@@H](O)C[C@@H]12,,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,Oleanane triterpenoids,Fungi,10.1055/a-0662-0296,Fungi,Terpenoids,6.61,7.54,4.41,7.32,5.21,5.49,6.28,5.63,5.1,6.01,7.16,7.54,648.8340000000002,3.2076000000000002,6,9,2.0,9.31
CNP0242101.1,O=C1C=C(C2=CC=C(O)C3=C2C(=O)C2OC2[C@H]3O)C2=CC=CC(O)=C2C1=O,Mycochrysone,Benzenoids,Polyketides,Naphthalenes,Bisnaphthalenes,Unknown-fungus sp. 1252,10.1139/v59-099,Unknown-fungus sp. 1252,Polyketides,6.2,7.9,5.56,5.95,5.55,5.31,5.86,5.18,5.05,7.38,7.16,7.9,364.3090000000001,1.292,3,7,2.0,9.31
CNP0277984.2,O=C(/C=C\C1=CC=C(O)C(O)=C1)OC1=CC=C(CC(O)C(=O)O)C=C1O,,,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Agaricus campestris|Apis cerana|Rosmarinus officinalis,,Agaricus campestris|Apis cerana|Rosmarinus officinalis,Shikimates and Phenylpropanoids,6.07,7.1,5.2,6.43,5.36,6.27,5.97,5.6,5.27,7.95,7.16,7.95,360.31800000000004,1.4101999999999995,5,7,2.0,9.31
CNP0241077.0,COC(=O)C(O)COC1=CC=C(C2=C(CC(C)C)C(=O)NC2=O)C=C1,Antrocinnamomin G,Benzenoids,Alkaloids,Tetramate alkaloids,,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,10.1002/CBDV.201200258|10.1002/cbdv.201200258,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Alkaloids,6.61,7.62,5.55,6.13,5.78,7.21,6.03,6.17,5.17,5.67,7.15,7.62,347.3670000000001,1.0553999999999997,2,6,2.0,9.3
CNP0072795.0,CC(C)=CCC1=CC=C(O)C(C2OC(=O)C3=C(O)C=C(C)C=C32)=C1O,Ascomfuran C,Organoheterocyclic compounds,Polyketides,Cyclic polyketides,Phthalide derivatives,Unknown-fungus sp. SK2YWS-L|unidentified species of Phylum Ascomycota,10.1016/j.tet.2017.12.057|10.1039/c9np00069k,Unknown-fungus sp. SK2YWS-L|unidentified species of Phylum Ascomycota,Polyketides,6.28,7.72,5.49,5.7,5.48,5.33,5.67,5.76,5.09,7.45,7.15,7.72,340.37500000000006,3.8803200000000024,3,5,2.0,9.3
CNP0217001.0,COC1=CC2=C(C=C1CCC(C)=O)OC1=C(OC)C=CC(O)=C1C2=O,"1-hydroxy-4,7-dimethoxy-6-(3-oxobutyl)-9h-xanthen-9-one",Organoheterocyclic compounds,Shikimates and Phenylpropanoids,Xanthones,Plant xanthones,Unknown-fungus sp.,10.1002/mrc.2539,Unknown-fungus sp.,Shikimates and Phenylpropanoids,6.34,7.68,4.98,5.73,5.19,6.05,5.97,5.51,5.09,7.43,7.15,7.68,342.34700000000004,3.190600000000002,1,6,2.0,9.3
CNP0114522.0,CC(C)CC1=C(C2=CC=C(O)C=C2)C(=O)NC1=O,"3-(4-hydroxyphenyl)-4-isobutyl-1h-pyrrole-2,5-dione",Benzenoids,Alkaloids,Tetramate alkaloids,,Antrodia salmonea|Taiwanofungus camphoratus|Taiwanofungus salmoneus,10.1002/JCCS.200800127|10.1002/jccs.200800127|10.1021/JF801171X,Antrodia salmonea|Taiwanofungus camphoratus|Taiwanofungus salmoneus,Alkaloids,6.8,7.61,5.34,6.27,5.4,7.03,5.74,5.4,5.22,6.42,7.15,7.61,245.278,1.8482999999999994,2,3,2.0,9.3
CNP0113295.0,COC1=C(O)C=CC2=C1C(=O)C1=CC=CC=C1C2=O,Alizarin 1-methyl ether,Benzenoids,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,Alangium platanifolium|Alternanthera philoxeroides|Asperula odora|Chara corallina|Cinchona pubescens|Conocybe siliginea|Croton penduliflorus|Damnacanthus indicus|Damnacanthus major|Euphorbia ingens|Galium aparine|Galium sinaicum|Galium spurium|Galium verum|Gynochthodes officinalis|Gynochthodes parvifolia|Hedyotis Capitellata|Hedyotis capitellata|Litsea konishii|Lychnophora columnaris|Monilinia fructigena|Morinda Citrifolia|Morinda citrifolia|Morinda citrifolia L.|Morinda elliptica|Morinda longiflora|Morinda lucida|Morinda parvifolia|Morinda umbellata|Oldenlandia umbellata|Ophelia bicornis|Perna viridis|Plocama pendula|Populus tomentosa|Proclema pendula|Pulveroboletus retipes|Rubia tinctorum|Rubia wallichiana|Scleromitrion diffusum|Siphonaria funiculata|Solanum curtipes|Stachys recta|Sweet Woodruff|Vepris louisii,10.1002/CBDV.200800047|10.1002/CHIN.200403232|10.1016/0031-9422(91)83077-X|10.1016/0031-9422(93)85131-A|10.1016/0031-9422(94)00579-I|10.1016/0031-9422(95)00145-W|10.1016/0040-4020(73)80244-3|10.1016/J.PHYTOCHEM.2005.02.023|10.1016/S0031-9422(00)83480-9|10.1016/S0031-9422(00)98557-1|10.1016/S0031-9422(97)00252-5|10.1016/j.fitote.2011.02.008|10.1021/NP050383K|10.1021/NP070501Z|10.1021/NP50020A017|10.1021/np50020a017|10.1039/C39720000405|10.1039/CT9079101907|10.1039/J39680000854|10.1039/J39680002437|10.1039/J39710002001|10.1055/S-2007-969609|10.1055/s-2007-967115|10.1076/1388-0209(200009)38:4;1-A;FT298|10.1080/10826079308020963|10.1080/14786410802696635|10.1248/BPB.31.1075|10.1248/CPB.43.1462|10.1248/CPB.51.948|10.1248/CPB.53.1597|10.1248/cpb.53.1597|10.3109/13880209509055208|10.3390/MOLECULES14010573|10.3390/MOLECULES14062049,Alangium platanifolium|Alternanthera philoxeroides|Asperula odora|Chara corallina|Cinchona pubescens|Conocybe siliginea|Croton penduliflorus|Damnacanthus indicus|Damnacanthus major|Euphorbia ingens|Galium aparine|Galium sinaicum|Galium spurium|Galium verum|Gynochthodes officinalis|Gynochthodes parvifolia|Hedyotis Capitellata|Hedyotis capitellata|Litsea konishii|Lychnophora columnaris|Monilinia fructigena|Morinda Citrifolia|Morinda citrifolia|Morinda citrifolia L.|Morinda elliptica|Morinda longiflora|Morinda lucida|Morinda parvifolia|Morinda umbellata|Oldenlandia umbellata|Ophelia bicornis|Perna viridis|Plocama pendula|Populus tomentosa|Proclema pendula|Pulveroboletus retipes|Rubia tinctorum|Rubia wallichiana|Scleromitrion diffusum|Siphonaria funiculata|Solanum curtipes|Stachys recta|Sweet Woodruff|Vepris louisii,Polyketides,6.48,7.59,5.61,6.09,5.29,6.05,5.67,5.42,5.08,7.38,7.15,7.59,254.24099999999996,2.1761999999999997,1,4,2.0,9.3
CNP0312878.0,CC(C)=CCOC1=CC=C(C2=C(CC(C)C)C(=O)N(O)C2=O)C=C1,"3-Isobutyl-4-[4-(3-methyl-2-butenyloxy)phenyl]-1H-pyrrol-1-ol-2,5-dione",Benzenoids,Alkaloids,,,Antrodia camphorata|Antrodia cinnamomea|Taiwanofungus camphoratus|antrodia cinnamomea,10.1021/NP030293K|10.1021/NP070634K|10.1021/np030293k|10.1021/np070634k|10.1080/14786410903132563,Antrodia camphorata|Antrodia cinnamomea|Taiwanofungus camphoratus|antrodia cinnamomea,Alkaloids,6.55,7.59,5.51,6.19,5.87,7.29,5.85,5.76,5.17,5.62,7.14,7.59,329.396,3.5893000000000015,1,4,2.0,9.28
CNP0178201.1,O=C1C2=C(O)C=CC3=C2[C@@]2(OC4=CC=CC5=C4[C@]3(O2)[C@@H]2O[C@@H]2C5=O)[C@@H]2O[C@H]12,Spiroxin C,Organoheterocyclic compounds,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Unknown-fungus sp. strain LL-37H248|unidentified fungus,10.1016/s0040-4039(99)00242-7|10.1039/b006897g,Unknown-fungus sp. strain LL-37H248|unidentified fungus,Polyketides,6.47,7.55,5.48,5.75,5.53,5.29,6.3,5.2,5.06,7.41,7.14,7.55,362.29300000000006,1.1386,1,7,2.0,9.28
CNP0198996.1,C1=C(C2=NC=CC3=C2NC2=CC=CC=C23)[C@@H]2CCN3CCCC/C=C\CC[C@]14O[C@@]15/C=C\CCCCN1[C@@H]4[C@]2(C3)C5,"12,34-OXAMANZAMINE A",Alkaloids and derivatives,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,Acanthostrongylophora sp.|sponge sp.|unidentified species of Family Petrosiidae,10.1039/b305250h,Acanthostrongylophora sp.|sponge sp.|unidentified species of Family Petrosiidae,Alkaloids,6.88,7.93,5.71,6.02,5.91,5.15,5.26,6.52,5.29,6.61,7.14,7.93,546.7590000000004,7.221400000000008,1,4,2.0,9.28
CNP0117863.1,CCOC(=O)CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O,Ethyl Lucidenate F,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids",Antrodia camphorata|Taiwanofungus camphoratus,10.1021/NP300443P|10.1021/np300443p,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,7.02,7.62,4.41,6.01,5.37,5.45,5.61,5.22,5.05,6.74,7.13,7.62,484.6330000000004,4.821200000000005,0,6,2.0,9.27
CNP0265119.0,CC(=O)ON1C(=O)C(CC(C)C)=C(C2=CC=C(OCC=C(C)C)C=C2)C1=O,Antrocinnamomin A,Benzenoids,Alkaloids,,,Antrodia cinnamomea|Antrodia cinnamomea (BCRC 36799)|Taiwanofungus camphoratus|antrodia cinnamomea,10.1021/NP070634K|10.1021/np070634k,Antrodia cinnamomea|Antrodia cinnamomea (BCRC 36799)|Taiwanofungus camphoratus|antrodia cinnamomea,Alkaloids,6.54,7.59,5.54,6.2,5.91,7.27,5.91,5.6,5.17,5.43,7.13,7.59,371.43300000000016,3.678200000000003,0,5,2.0,9.27
CNP0425326.1,CC[C@H](C)C1=C(C2=CC=C(OCC=C(C)C)C=C2)C(=O)N(OC(C)=O)C1=O,,Benzenoids,Alkaloids,,,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,10.1021/NP070634K,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Alkaloids,6.54,7.62,5.56,6.01,6.02,7.23,5.88,5.6,5.17,5.39,7.13,7.62,371.4330000000001,3.678200000000002,0,5,2.0,9.27
CNP0350788.1,CC(=O)OC[C@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4C(=O)C=C5[C@@H]6C[C@@](C)(C(=O)O)CC[C@]6(C)CC[C@@]5(C)[C@]4(C)[C@@H](O)C[C@H]3C2(C)C)[C@H](O)[C@@H](O)[C@@H]1O,,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,Oleanane triterpenoids,Fungi,10.1055/a-0662-0296,Fungi,Terpenoids,6.6,7.52,4.41,7.25,5.24,5.47,6.23,5.65,5.11,6.01,7.12,7.52,690.8710000000005,3.7784000000000035,5,10,2.0,9.26
CNP0425308.1,CC[C@H](C)C1=C(C2=CC=C(OCC=C(C)C)C=C2)C(=O)O[C@@H]1O,,Benzenoids,Shikimates and Phenylpropanoids,,,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,10.1021/NP070634K,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Shikimates and Phenylpropanoids,6.5,7.64,5.59,6.14,5.88,7.22,5.74,5.65,5.07,5.54,7.12,7.64,316.397,3.7065000000000032,1,4,2.0,9.26
CNP0116679.0,C=CC(C)(C)C1=CC=C(C2=C(CC(C)C)C(=O)N(O)C2=O)C=C1O,Antrocinnamomin F,Benzenoids,Alkaloids,,,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,10.1002/CBDV.201200258|10.1002/cbdv.201200258,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Alkaloids,6.69,7.58,5.35,6.51,5.25,7.08,5.88,5.96,5.25,6.55,7.12,7.58,329.396,3.413500000000002,2,4,2.0,9.26
CNP0217084.3,O=C1CCCN2[C@@H](CC1)C[C@]13CN4CCCC/C=C\CCC(O)(C=C(C5=NC=CC6=C5NC5=CC=CC=C56)C1CC4)[C@H]23,"(2~{R},4~{S},12~{R},16~{Z})-13-hydroxy-25-(9~{H}-pyrido[3,4-b]indol-1-yl)-11,22-diazapentacyclo[11.11.2.1^{2,22}.0^{2,12}.0^{4,11}]heptacosa-16,25-dien-7-one",Alkaloids and derivatives,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,Acanthostrongylophora sp.|sponge sp.|xestospongia ashmorica,10.1021/np020592u|10.1021/np0400095|10.1021/np0601399|10.1021/np9604083,Acanthostrongylophora sp.|sponge sp.|xestospongia ashmorica,Alkaloids,6.85,7.93,5.79,5.99,5.87,5.16,6.0,6.57,5.29,6.08,7.12,7.93,564.7740000000001,6.258800000000008,2,5,2.0,9.26
CNP0307693.2,CC1=CC(=O)C(C2=C(O)C=C(/C=C/C3=CC=C(O)C(O)=C3)OC2=O)C(C2=CC=C(O)C(O)=C2)O1,,,Shikimates and Phenylpropanoids,Styrylpyrones,Kavalactones and derivatives,Fungi,10.1038/bjp.2008.136,Fungi,Shikimates and Phenylpropanoids,6.3,7.46,5.4,5.68,5.19,5.41,6.16,5.36,5.16,7.59,7.12,7.59,464.4260000000002,3.6662000000000035,5,9,2.0,9.26
CNP0584302.2,CC1=C[C@H]2C[C@@H](C)CC[C@@H]2[C@@](C)(C(=O)C2=C(O)[C@@H](CO)N=C2O)[C@H]1/C=C/C=C/C[C@@H](C)O,"[(1R,2S,4aR,6S,8aS)-2-[(1E,3E,6R)-6-hydroxyhepta-1,3-dienyl]-1,3,6-trimethyl-4a,5,6,7,8,8a-hexahydro-2H-naphthalen-1-yl]-[(2R)-3,5-dihydroxy-2-(hydroxymethyl)-2H-pyrrol-4-yl]methanone",Organic acids and derivatives,Amino acids and Peptides,Cyclic polyketides,3-Decalinoyltetramic acids,Endophytic fungal NRRL 50135,,Endophytic fungal NRRL 50135,Amino acids and Peptides,6.12,7.02,5.71,5.88,5.43,5.14,5.72,5.5,5.18,7.04,6.73,7.04,443.5840000000002,4.216700000000003,4,5,2.5,9.25
CNP0160667.0,COC(=O)C1=C(C2=CC=CN2)C2=CC=CC=C2C(=O)N1,920020-07-1,Organoheterocyclic compounds,Alkaloids,,,mangrove endophytic fungi strain Nos.3893 + mangrove endophytic fungi strain Nos.1924,,mangrove endophytic fungi strain Nos.3893 + mangrove endophytic fungi strain Nos.1924,Alkaloids,6.39,7.6,5.45,5.74,5.65,5.79,6.19,5.3,5.07,5.64,6.73,7.6,268.272,2.3098,2,3,2.5,9.25
CNP0584302.1,CC1=C[C@@H]2C[C@@H](C)CC[C@@H]2[C@@](C)(C(=O)C2=C(O)[C@@H](CO)N=C2O)[C@@H]1/C=C/C=C/C[C@@H](C)O,"[(1R,2R,4aS,6S,8aS)-2-[(1E,3E,6R)-6-hydroxyhepta-1,3-dienyl]-1,3,6-trimethyl-4a,5,6,7,8,8a-hexahydro-2H-naphthalen-1-yl]-[(2R)-3,5-dihydroxy-2-(hydroxymethyl)-2H-pyrrol-4-yl]methanone",Organic acids and derivatives,Amino acids and Peptides,Cyclic polyketides,3-Decalinoyltetramic acids,Endophytic fungal NRRL 50135,10.1021/np500617u,Endophytic fungal NRRL 50135,Amino acids and Peptides,6.12,7.02,5.71,5.88,5.43,5.14,5.72,5.5,5.18,7.04,6.73,7.04,443.5840000000002,4.216700000000003,4,5,2.5,9.25
CNP0276648.0,COC1=C(O)C=CC2=C1OC1=C(CC=C(C)C)C(O)=CC(O)=C1C(=O)O2,,Phenylpropanoids and polyketides,Polyketides,Aromatic polyketides,Depsidones,Garcinia corallina|Garcinia neglecta|Garcinia puat,10.1021/NP000333+,Garcinia corallina|Garcinia neglecta|Garcinia puat,Polyketides,6.32,7.61,5.26,6.16,5.69,6.24,5.78,5.57,5.31,7.39,7.11,7.61,358.34600000000006,3.645600000000002,3,7,2.0,9.24
CNP0414254.0,O=C(O)C1=CC=C(O)C(Br)=C1,3-Bromo-4-hydroxybenzoic acid,Benzenoids,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Leathesia marina|Leathesia nana,10.1021/NP0400609|10.1021/np0400609|10.1080/10286020310001653273,Leathesia marina|Leathesia nana,Shikimates and Phenylpropanoids,5.92,7.0,5.32,5.62,5.66,5.96,6.44,5.23,5.66,7.88,7.11,7.88,217.01799999999997,1.8528999999999998,2,2,2.0,9.24
